EVENT_TYPE,comment,EVENT_ID
PROMISE_TO_PAY,PTP ON 19-12-18 TAKE 6 EMI AMOUNT CHQ ( AND ALSO ADVANCE CHQ ) BCZ NACH REJECTED,16494
PROMISE_TO_PAY,CM WILL DO PYMT BY ONLINE ON 4/12,12145
RINGING,RNG.,9318
NOT_CONTACTABLE,NC,5470
PAID,CM HAS MADE THE PYMT OF RS 1969 THROUGH AGENCY ON 05/02,28835
PAID,CM HAS MADE THE PYMT OF RS 5021 THROUGH AGENCY ON 26/12,18583
PAID,CM HAS MADE THE PYMT OF RS 8941 THROUGH ONLINE ON 18/12,16630
PAID,CM HAS MADE THE PYMT OF RS 3686 THROUGH AGENCY ON 5/12,13102
PAID,CM GIVEN 1 EMI BY CASH,10878
RINGING,ASSIGNED TO AGENCY AG ENTERPRISES,22416
RINGING,RNG,6071
NOT_CONTACTABLE,SWITCH OFF,19992
NOT_CONTACTABLE,"VISITED AT CM AFFICE ADD BUT , CM IS LEFT WITH WORK ADD.",16619
PAID,PAID,3429
NOT_CONTACTABLE,NOT IN SERVICE.,3628
PROMISE_TO_PAY,CUSTOMER COMMITTED  PAYMENT MAKING ON 13-12-18 BY ONLINE PAYMENT MODE,15071
NOT_CONTACTABLE,NC,20444
NOT_CONTACTABLE,CM MOB NO NOT RICHABLE,7035
RINGING,CUSTOMER CALL NOT RECEIVE.,5786
PAID,CM HAS MADE THE PYMT OF RS 1737 THROUGH AGENCY ON 29/01,27237
NOT_CONTACTABLE,SWITCH OFF.,23081
PROMISE_TO_PAY,ASSIGNED TO AGENCY AG ENTERPRISES,14712
PAID,PAID,18488
CASH_PICK_UP,CM SAID SEND THE EXECUTIVE  AND COLL THE EMI,8296
RINGING,ASSIGNED TO AGENCY AG ENTERPRISES,18102
PROMISE_TO_PAY,PTP 7/12,11312
RINGING,RINGING,21941
PROMISE_TO_PAY,CUSTOMER PAY TO 1 EMI 3/11/2018..,6271
RINGING,CM MOB NO RINGING,3373
RINGING,RNG,18164
NOT_CONTACTABLE,NOT REACHABLE,2645
PAID,CM HAS MADE THE PYMT OF RS 3664 THROUGH AGENCY ON 11/01,22812
RINGING,RNG.,7040
NOT_CONTACTABLE,NC,11957
PROMISE_TO_PAY,PTP ON 29-11-18,11512
RINGING,RNG,24536
PAID,CM GIVEN 1 EMI BY CASH,22152
PAID,CM HAS MADE THE PYMT OF RS 1780 BY ONLINE ON 16/11,8950
RINGING,RINGING.,23400
PROMISE_TO_PAY,PTP 24/11 AT RESY ADD.,10389
FOLLOW_UP,XXX-XXX-XXXX CM SD CM BROTHER SPK TO CM LEFT MSG,15305
PROMISE_TO_PAY,PROMISE TO PAY BY CASH ON 30 DEC 2018 BEAUSE CM IS OUT OF MUMBAI,19392
PAID,"5144	1/23/2019	CLG/DHRUSHIL JAYDEEPSI/192505/YES/11.01.2019",26220
CASH_PICK_UP,PIC-UP ON 22/1,25214
PAID,CM GIVEN 1 EMI,1873
RINGING,RINGING,17688
RINGING,RNG,20527
PAID,PAID,9683
PROMISE_TO_PAY,PTP,23579
PROMISE_TO_PAY,CM SAID HE MAKE THE PAYMENT ON 5 FEB,25829
NOT_CONTACTABLE,CM MOB NO NOT REACHABLE,27826
PAID,PAID,8331
PAID,CM HAS MADE THE PYMT OF RS 8516 THROUGH AGENCY ON 9/01,21693
PAID,CM GIVEN 1 EMI BY CASH,5805
RINGING,RNG,22122
NOT_CONTACTABLE,NC.,11217
RINGING,RNG.,13499
PAID,CM HAS MADE THE PYMT OF RS 6221 THROUGH AGENCY ON 27/12,18970
NOT_WILLING_TO_PAY,ONE EMI GIVEN TO VINAYAK (SALES EXECUTIVE ) THATS Y CUSTOMER NOT GIVEN THAT EMI,6214
CASH_PICK_UP,PIC-UP,15950
PROMISE_TO_PAY,PTP 24/11,10836
PROMISE_TO_PAY,CM WILL DO PYMT BY ONLINE ON 9/12,11266
CASH_PICK_UP,PIC-UP,12987
RINGING,RNG.,15621
NOT_CONTACTABLE,NC.,6433
RINGING,RNG,22174
PROMISE_TO_PAY,REASSIGNED BY HARDIK KADAKIA,8250
NOT_WILLING_TO_PAY,CM IS AUGUST PAYMENT ARE NOT REDY TO PAY.,15910
RINGING,REASSIGNED BY HARDIK KADAKIA,8027
PAID,PAID,20179
CASH_PICK_UP,PIC-UP ON 31/12,19476
PAID,CM HAS MADE THE PYMT OF RS 2203 THROUGH AGENCY ON 26/12,18577
PAID,CM HAS MADE THE PYMT OF RS 3453 THROUGH ONLINE ON 6/12,14191
RINGING,RNG,19420
CASH_PICK_UP,ASSIGNED TO AGENCY NATRAJ MOTOR,17682
NOT_CONTACTABLE,NO RINGING.,4036
FOLLOW_UP,CM SAID CALL BACK AFTER SOME TIME,8557
PAID,PAID,8985
PAID,PAID CASH,19441
PAID,CM GIVEN 1 EMI BY CASH,17986
PAID,CM HAS MADE THE PYMT OF RS 1915 THROUGH AGENCY ON 31/01,27789
CASH_PICK_UP,CM GIVEN 1 EMI BY CASH,13199
PAID,CM HAS MADE THE PYMT OF RS 2662 THROUGH ONLINE ON 23/01,26051
RINGING,RNG.,14390
FOLLOW_UP,CM SAID HE HAS MADE THE PYMT CBK AFTER SOME TIME FOR DETAILS.26/10,5212
PAID,PAID,12739
RINGING,RINGING.,4115
RINGING,RINGING.,21412
PROMISE_TO_PAY,PTP MONTH END,9756
NOT_CONTACTABLE,CM MOB NO IS NOT RICHABLE,7071
NOT_CONTACTABLE,NC,17602
RINGING,RNG.,8938
NOT_CONTACTABLE,CM MOB NO NOT REACHABLE,27075
CASH_PICK_UP,PIC-UP,14849
NOT_CONTACTABLE,NC,3326
RINGING,RNG,13181
PAID,CASH DEPOSITED,24776
FOLLOW_UP,CM HAS MADE THE PYMT..HE WILL GIVE DETAILS BY 8/01 AFTER VISITING THE BANK.,21078
PAID,PAID,1624
FOLLOW_UP,CUSTOMER WILL CALL BACK AGAIN,4804
PAID,PAID,26166
RINGING,RINGING.,24872
PAID,CM GIVEN 2 EMI BY CASH,16770
PAID,PAID,8538
PAID,CASH DEPOSIT FROM SURAT 05-11-18,6694
FOLLOW_UP,CM HAS DONE THE PYMT IN FEB ONLY..CBK ON 21/11,13886
PROMISE_TO_PAY,PTP 12/12 BY ONLINE.,14924
NOT_CONTACTABLE,OUT OFF SERVICE.,22987
RINGING,RNG,26876
PAID,CM HAS MADE THE PYMT OF RS 1750 BY ONLINE ON 29/11 ( AND RS 7 BY CASH DEPOSITED TO BANK BY AGENCY ON 29/11),12096
PAID,CM GIVEN BY CHQ,9840
PAID,PAID,13114
RINGING,CM MOB NO RINGING,21731
RINGING,WILL VISIT RESI 18/01/2019,24426
RINGING,CUSTOMER CALL NOT PICK UP..,6269
RINGING,RNG,22984
NOT_CONTACTABLE,11-OCT-18 CM MOB NO RINGING .,2442
NOT_CONTACTABLE,CUSTOMER CALL BACK..,10292
RINGING,RNG.,17257
RINGING,CM MOB NO RINGING,4145
RINGING,RNG,28880
RINGING,RNG,25977
FOLLOW_UP,CM SAID CALL BACK AFTER SOME TIME,21306
RINGING,CM MOB NO RINGING,14090
PAID,PAID,20164
PROMISE_TO_PAY,"SPOKE TO VIRAL
GIVEN TO PTP TO VIRAL",13788
NOT_CONTACTABLE,ASSIGNED TO AGENCY AG ENTERPRISES,21763
PROMISE_TO_PAY,WILL PAY ON 11TH,21640
RINGING,RNG,28387
RINGING,RNG,27231
RINGING,RNG,27994
PROMISE_TO_PAY,WILL PAY ON 23,17642
CASH_PICK_UP,ASSIGNED TO AGENCY AG ENTERPRISES,23836
NOT_CONTACTABLE,NC.,18253
RINGING,NOT RECEIVED CALL,3569
RINGING,RNG,22689
PAID,PAID,28138
CASH_PICK_UP,CM SAID SEND THE EXECUTIVE AND COLLECT THE EMI,22491
CASH_PICK_UP,CM SAID TODAY RELISED EMI,29088
RINGING,RNG,21639
PROMISE_TO_PAY,PTP 17/12,16149
PAID,CM MAKE THE PAYMENT BY ONLINE,16093
RINGING,RNG,28041
PAID,PAID,1815
RINGING,RNG.,16631
PROMISE_TO_PAY,CALLED BACK,5073
RINGING,RNG,28455
PAID,CM MAKE THE PAYMENT BY ONLINE,23319
PROMISE_TO_PAY,PTP 17/12 BY ONLINE.,15763
PROMISE_TO_PAY,PROMISE TO PAY BY CASH,8922
RINGING,CM MOB NO RINGING,20537
PAID,CM HAS MADE THE PYMT OF RS 2753 THROUGH AGENCY ON 26/12,18553
PAID,PAID,27854
CASH_PICK_UP,CM SAID SEND THE EXECUTIVE AND COLLECT THE EMI,3357
NOT_WILLING_TO_PAY,CM SAID HE IS NOT WILLING TO PAY,29104
NOT_CONTACTABLE,THIS NO IS INCORRECT.,4394
PAID,CM HAS MADE THE PYMT OF RS 1838 THROUGH ONLINE ON 28/12,19292
NOT_CONTACTABLE,SWITCH OFF,23065
PAID,PAID,4726
PAID,PAID,4255
NOT_CONTACTABLE,NC,22441
RINGING,RNG,25508
RINGING,RNG.,11845
CASH_PICK_UP,PICK UP,18873
NOT_WILLING_TO_PAY,"CM SAYS, MY LOAN FOR 1 YEAR. SO M NOT REDY TO PAY",16204
PAID,CM HAS MADE THE PYMT OF RS 3570 THROUGH AGENCY ON 23/01,25898
PROMISE_TO_PAY,CM SAID CALL BACK ON 27-OCT HE MAKE THE PAYMENT .,4266
PROMISE_TO_PAY,CM SAID HE WANT WELCOME KIT THEN HE MAKE THE CASH PAYMENT,11299
PROMISE_TO_PAY,REASSIGNED BY HARDIK KADAKIA,4865
RINGING,RNG.,15783
FOLLOW_UP,CM SAYS I HAVE RECEIPT FOR NOV.,8767
PAID,ONE EMI PAID BY CASH ON 07-12-18,13794
PAID,CM GIVEN 1 EMI BY CASH,20708
PAID,CM HAS MADE THE PYMT OF RS 5544 THROUGH AGENCY ON 20/10,3600
PAID,CM GIVEN 2 EMI BY CASH,6592
PAID,PAID,6149
NOT_CONTACTABLE,NC,16578
NOT_CONTACTABLE,SWITCH OFF.,9160
RINGING,RNG,20086
RINGING,RNG,23216
PAID,CM GIVEN 1 EMI BY CASH,18140
NOT_CONTACTABLE,"XXX-XXX-XXXX	BHUSHAN I HAVE NO NEW NO.",11841
RINGING,RNG,3946
CASH_PICK_UP,REASSIGNED BY HARDIK KADAKIA,23255
PAID,CM GIVEN 1 EMI BY CASH,20727
PROMISE_TO_PAY,PROMISE TO PAY ON 29 OCT 2018,5534
RINGING,RNG,19208
NOT_CONTACTABLE,CM MOB NO NOT RICHABLE,4425
NOT_WILLING_TO_PAY,CM SAID HE IS NOT WILLING TO PA EMI,28931
PAID,CM HAS MADE THE PYMT OF RS 3171 THROUGH AGENCY ON 29/01,27242
RINGING,RNG,25927
NOT_CONTACTABLE,WRONG NO.,3682
FOLLOW_UP,CALL BACK TO 3 PM,4438
CASH_PICK_UP,CM SAID SEND THE EXECUTIVE AND COLLECT THE EMI,22649
RINGING,RNG,23328
CASH_PICK_UP,PIC-UP,20610
PROMISE_TO_PAY,PTP 24/11 BY ONLINE.,10862
NOT_CONTACTABLE,NC,11391
RINGING,CALLED BACK,3456
PROMISE_TO_PAY,PTP 12/11 BY ONLINE.,6807
RINGING,RNG,27830
CASH_PICK_UP,ASSIGNED TO AGENCY AG ENTERPRISES,10652
FOLLOW_UP,REASSIGNED BY HARDIK KADAKIA,8242
PROMISE_TO_PAY,PTP TODAY ONLINE,12561
NOT_CONTACTABLE,CM MOB NO SWITCH OFF,27074
PROMISE_TO_PAY,PTP 5/11 AT RESY ADD.,6509
PAID,PAID,2092
PAID,CM HAS MADE THE PYMT OF RS 24000 THROUGH CASH ON 17/12,16213
NOT_CONTACTABLE,NOT IN SERVICE.,5844
RINGING,RNG,4347
FOLLOW_UP,COLLEAGUE SAID CBK AFTER SOME TIME..30/10,5689
CASH_PICK_UP,PIC-UP ON 28/12,19192
PAID,CASH PAID ON 08-12-18,13848
RINGING,RNG,27459
RINGING,RNG,17886
PROMISE_TO_PAY,CM SAID HE MAKE THE PAYMENT ON 5 JAN,20545
RINGING,RNG.,9546
CASH_PICK_UP,XXX-XXX-XXXX CM SD HE MK THE PAMT EXU COLL 2 EMI TOMM,15341
PAID,PAID,27853
FOLLOW_UP,ASSIGNED TO AGENCY AG ENTERPRISES,14696
PAID,CM GIVEN 1 EMI BY CASH,11251
PAID,CM GIVEN CASH 1 EMI,4997
RINGING,RNG,14661
PROMISE_TO_PAY,WILL PAY ON 15TH.,22811
NOT_CONTACTABLE,"SPOKE TO CUSTOMER'S RELATIVE.
NOT WILLING TO PAY FROM LAST THREE MONTHS.
GIVEN ORDERS TO RECOVER HIS BIKE",15316
FOLLOW_UP,NACH NOT PRESENTED FROM ARE SIDE SO 2 EMI WILL DEDUCT ON 20/10,3475
RINGING,REASSIGNED BY HARDIK KADAKIA,8385
RINGING,ASSIGNED TO AGENCY NATRAJ MOTOR,15176
PROMISE_TO_PAY,CM SAID TOMMOROW  MAKE EMI,28952
PROMISE_TO_PAY,CM SAID SEND THE ONLINE DETAIL HE MAKE THE PAYMENT,11491
NOT_CONTACTABLE,REASSIGNED BY HARDIK KADAKIA,4184
PAID,CM HAS MADE THE PYMT OF RS 4743 THROUGH AGENCY ON 4/01,20656
PROMISE_TO_PAY,PTP 17/11,8722
PAID,CM GIVEN 1 EMI BY CASH,24455
FOLLOW_UP,CM SAID CALL BACK AFTER SOME TIME,25098
RINGING,RINGING.,23355
RINGING,RNG,5454
PROMISE_TO_PAY,PTP 22/12,16470
PROMISE_TO_PAY,PROMISE TO PAY BY CASH ON 28 NOV 2018,11444
RINGING,RNG,5199
PAID,CM GIVEN 1 EMI BY CASH,6674
PAID,PAID,29092
NOT_CONTACTABLE,REASSIGNED BY HARDIK KADAKIA,11624
PAID,CM HAS MADE THE PYMT OF RS 2507 THROOUGH AGENCY ON 1/010,1743
PROMISE_TO_PAY,"PAID 1 EMI BUT NOT UPDATED IN SYSTEM
REMAINING 1 EMI CUSTOMER WILL PAY ON 19TH",15594
PROMISE_TO_PAY,REASSIGNED BY HARDIK KADAKIA,14832
CASH_PICK_UP,PIC-UP 20/1,19903
PAID,CM GIVEN 1 EMI BY CASH,24068
PROMISE_TO_PAY,PROMISE TO PAY ON 30 OCT 2018,5512
RINGING,CM NOT RECEIVING CALL,29571
RINGING,CUSTOMER CALL NOT RECEIVE..,9020
NOT_CONTACTABLE,CM MOB NO NOT REACHABLE,28358
PROMISE_TO_PAY,WILL PAY ON 15TH,11713
RINGING,RNG,28365
PROMISE_TO_PAY,PROMISE TO PAY PAYMENT BY CASH ON 31 DEC 2018,19335
PAID,CM HAS MADE THE PYMT OF RS 1955 THROUGH AGENCY ON 31/01,27792
CASH_PICK_UP,12-OCT-18 CM SAID ALREADY BANK  DEDUCT  3165 RS AND BALANCE AMT 600 RS CUTS GIVEN CASH,2637
PAID,CM GIVEN 1 EMI BY CASH,23413
PAID,PAID,21311
RINGING,RNG.,17585
RINGING,RNG.,6661
PAID,PAID,3650
RINGING,RNG,13610
FOLLOW_UP,CALL REC CM SISTER SHE SAID CALL BACK AFTER SOME TIME,24047
NOT_CONTACTABLE,REASSIGNED BY HARDIK KADAKIA,7460
CASH_PICK_UP,ASSIGNED TO AGENCY AG ENTERPRISES,14605
RINGING,ASSIGNED TO AGENCY AG ENTERPRISES,14705
NOT_CONTACTABLE,ASSIGNED TO AGENCY NATRAJ MOTOR,11021
RINGING,XXX-XXX-XXXX CM NEW NO RINGING,15068
CASH_PICK_UP,PIC-UP ON 12/1,22765
PAID,PAID,2221
NOT_CONTACTABLE,CM MOB NO IS NOT REACHABLE,7921
PAID,CM HAS MADE THE PYMT OF RS 1644 THROUGH AGENCY ON 25/10,4852
RINGING,RNG,5248
CASH_PICK_UP,ARRANGE EXECUTIVE AT REI ADD ON 24/01,25731
PROMISE_TO_PAY,ASSIGNED TO AGENCY SHRUTI COLLECTION,11036
PAID,PAID,12169
RINGING,RNG,23964
RINGING,RNG,24948
RINGING,RNG,24950
RINGING,CM MOB NO RINGING,29237
CASH_PICK_UP,PIC-UP ON 17/1,22672
RINGING,RNG.,12054
PAID,ADV,1462
PAID,CASH PAID ON 17-12-18,16306
FOLLOW_UP,CALLED BACK 26/10,4968
RINGING,UNASSIGNED AGENCY,28452
RINGING,RNG,16094
PROMISE_TO_PAY,PTP 6/11 AT RESY ADD.,6494
NOT_CONTACTABLE,SWITCH OFF.,15969
CASH_PICK_UP,ARRANGE EXECUTIVE AT HIS RESI ADD ON 13/11,7064
RINGING,RNG,23212
RINGING,CM MOB NO RINGING,10685
PAID,PAID,10459
NOT_CONTACTABLE,CM MOB NO SWITCH OFF,6535
PROMISE_TO_PAY,WILL PAY ON 26TH,4623
PAID,CM GIVEN 1 EMI BY CASH,22449
RINGING,RNG,20215
RINGING,RNG,20192
PROMISE_TO_PAY,REASSIGNED BY HARDIK KADAKIA,14837
PROMISE_TO_PAY,XXX-XXX-XXXX  MR.ISRAR WILL MAKE PYMT BY ONLINE ON 7/02,29413
PROMISE_TO_PAY,CM SAID HE MAKE THE PAYMENT BY FRIDAY,16417
NOT_WILLING_TO_PAY,REASSIGNED BY HARDIK KADAKIA,15411
RINGING,CHECK NOT DROP / BALANCE MAINTAINED IN BANK,14311
PROMISE_TO_PAY,PTP ON 03-12-18,12462
NOT_CONTACTABLE,SWT,5207
PAID,CM HAS MADE THE PYMT OF RS 2662 THROUGH AGENCY ON 26/12,18558
CASH_PICK_UP,PIC-UP,13787
RINGING,RNG,28668
RINGING,RNG,28797
PROMISE_TO_PAY,CM WILL DO PYMT BY ONLINE ON 24/01,26314
PROMISE_TO_PAY,CM SAID HE MAKE THE PAYMENT,28010
RINGING,RNG,17670
PAID,CM HAS MADE THE PYMT OF RS 2433 THROUGH AGENCY ON 22/01,25513
PAID,CM GIVEN CHEQUE,17994
RINGING,RNG,8614
FOLLOW_UP,CALL  BACK TO 21 NOV 2018,9232
NOT_CONTACTABLE,"REFERENCE	SOHAIL KHAN	XXX-XXX-XXXX SAYS I HAVE NO CONTACT NUMBER.",25960
PAID,CM HAS MADE THE PYMT OF RS 2727 THROUGH AGENCY ON 29/12,19663
NOT_WILLING_TO_PAY,REASSIGNED BY HARDIK KADAKIA,11591
PAID,CM MAKE THE ONLINE PAYMENT,6624
PAID,PAID,8972
PAID,PAID,20451
NOT_WILLING_TO_PAY,REASSIGNED BY HARDIK KADAKIA,11582
PAID,CASH,10649
PAID,C HAS MADE THE PYMT OF RS 3453 THROUGH ONLINE ON 10/12,14058
RINGING,RNG,26246
PROMISE_TO_PAY,ARRANGE EXECUTIVE AT HIS RESI ADD ON 16/10,2873
PAID,SEND LINK,24414
PAID,CASH DEPOSITED,15694
PROMISE_TO_PAY,PROMISE TO PAY BY CASH ON 23 NOV 2018,9357
CASH_PICK_UP,PIC-UP,15888
NOT_CONTACTABLE,NC,25961
PAID,PAID,8993
PROMISE_TO_PAY,WILL PAY ON 1,28064
PROMISE_TO_PAY,PTP 21/11 AT RESY ADD.,9850
NOT_CONTACTABLE,RNG,18625
PROMISE_TO_PAY,PTP 15/12 AT RESY ADD.,13598
NOT_WILLING_TO_PAY,AGENCY COMMITTED NOT WILLING TO PAY AND BIKE ALSO NOT RECOVERED FROM THE PLACE,28770
PROMISE_TO_PAY,PTP ON 08-01-19,20998
PROMISE_TO_PAY,ASSIGNED TO AGENCY NATRAJ MOTOR,4355
RINGING,RNG,18260
RINGING,RNG.,13501
PAID,PAID ON 26-12-18,18587
NOT_CONTACTABLE,"LEFT MASSAGE WITH -  REFERENCE	KHALEEK AHMAD	XXX-XXX-XXXX",19135
PAID,CM GIVEN 1 EMI,4994
RINGING,RNG.,23959
RINGING,RINGING.,24713
RINGING,RNG.,13174
NOT_CONTACTABLE,THIS NO IS NOT IN SERVICE.,10721
PAID,CASH,9485
PROMISE_TO_PAY,ASSIGNED TO AGENCY SHRUTI COLLECTION,21740
RINGING,RNG,21166
RINGING,RNG,20643
PROMISE_TO_PAY,PTP 26/10 BY ONLINE.,5191
PAID,CM GIVEN 1 EMI BY CASH,18571
FOLLOW_UP,CALL BACK AT 3PM,14934
RINGING,RNG,28510
NOT_CONTACTABLE,NC,26717
NOT_CONTACTABLE,NC,11959
PAID,PAID,20516
PROMISE_TO_PAY,PTP ON 21-11-18,9514
FOLLOW_UP,"CM SAYS OLREDY  PAYMENT PAID BY PENDING . RECEIPT SEND ,RECPT DATE 2/11",9473
PROMISE_TO_PAY,PTP 7/1,20678
NOT_CONTACTABLE,BUSY,2694
RINGING,RNG,16975
NOT_CONTACTABLE,XXX-XXX-XXXX NC,17118
FOLLOW_UP,CM WILL COME TO OFFICE ON 11/01,21675
CASH_PICK_UP,PIC-UP 14/1,23153
RINGING,RNG,17457
RINGING,PENDING EMI PAID TO KADAM AGENCY,27356
NOT_CONTACTABLE,CM NUMBER NOT CONNECT,29862
RINGING,RNG,28222
CASH_PICK_UP,PIC-UP ON 13/12,15262
PAID,CM HAS MADE THE PYMT OF RS 2767 THROUGH ONLINE 15/11,8788
PAID,CM HAS MADE THE PYMT OF RS 2073 THROUGH AGENCY ON 26/09,1368
NOT_CONTACTABLE,CM MOB NOTRICHABLE,10731
FOLLOW_UP,CM SAID HE PAY EVERY MONTH CASH,13522
RINGING,RNG,27323
PROMISE_TO_PAY,CUSTOMER PAY TO  3 EMI TO 29/12/2018..,19203
PAID,CM GIVEN 2 EMI BY CASH,28122
RINGING,RNG.,10453
RINGING,RINGING.,19779
RINGING,RNG,26037
PROMISE_TO_PAY,CM SAID HE MAKE THE ONLINE PAYMENT TOM,14495
PAID,ASSIGNED TO AGENCY AG ENTERPRISES,11124
NOT_CONTACTABLE,CM MOB NO RINGING,2921
RINGING,RNG,2777
CASH_PICK_UP,ASSIGNED TO AGENCY AG ENTERPRISES,22085
RINGING,RNG,27765
PAID,CM HAS MADE THE PYMT OF RS 1619 THROUGH AGENCY ON 14/01,23645
PROMISE_TO_PAY,WILL PAY ON 22,24028
CASH_PICK_UP,PIC-UP ON 14/1,23372
RINGING,CM MOB NO RINGING,22644
RINGING,RINGING / CALL RECEIVED NOT TALKING / RINGING BACK TO BACK DONE,5862
PROMISE_TO_PAY,CUSTOMER IS OUTSTATION HE PAY TO 2 EMI + PENTALY IN 1/12/2018..,17177
PROMISE_TO_PAY,ASSIGNED TO AGENCY NATRAJ MOTOR,7144
RINGING,CM MOB NO RINGING,21474
PAID,CM GIVEN 1 EMI BY CASH,24367
RINGING,REASSIGNED BY HARDIK KADAKIA,12928
RINGING,CM MOB NO RINGING .,6820
PAID,CM HAS MADE THE PYMT OF RS 1955 THROUGH AGENCY ON 1/12,12407
PAID,PAID,19627
RINGING,RNG,11752
RINGING,CM MOB NO RINGING,6549
FOLLOW_UP,CM'S MOTHER WILL PASS THE MSG,15755
CASH_PICK_UP,PIC-UP 14/12,15244
CASH_PICK_UP,ARRANGE EXECUTIVE AT THANE WEST ON 3/12,12486
PROMISE_TO_PAY,CUSTOMER PAY TO 1 EMI 19/11/2018.,9025
PROMISE_TO_PAY,PTP 5/12,12917
PAID,PAID,17103
CASH_PICK_UP,PIC-UP AT 4PM,28780
PAID,PAID,4342
PAID,CM GIVEN 2 EMI,4563
CASH_PICK_UP,PIC-UP.,8721
PROMISE_TO_PAY,PTP ON 06/11/18,5839
CASH_PICK_UP,PIC-UP ON 11/12,14462
PROMISE_TO_PAY,PROMISE TO PAY BY ONLINE ON 23 OCT 2018,3704
PAID,CM GIVEN 1 EMI BY CASH,27798
FOLLOW_UP,ASSIGNED TO AGENCY NATRAJ MOTOR,25397
FOLLOW_UP,CUSTOMER IS BUZY CALL BACK ON 12-12-18,14479
RINGING,RNG,23244
NOT_CONTACTABLE,OUT OFF SERVICE.,16755
RINGING,RNG.,9536
PAID,CM HAS MADE THE PYMT OF RS 3686 THROUGH AGENCY ON 15/12,16572
PAID,PAID,4481
RINGING,"RINGING. 	SANI	XXX-XXX-XXXX",16459
CASH_PICK_UP,PTP 18/1,24431
PAID,CM HAS MADE THE PYMT OF RS 5211 THROUGH AGENCY ON 13/12,15327
PAID,PAID ON 28-11-18,13016
PROMISE_TO_PAY,CUSTOMER WILL BE BIKE SURRENDER ON 06-02-19 AT NALASOPARA RAILWAY STATION AND CONFIRMED WITH NATRAJ AGENCY ON CONFERENCE CALL WITH CUSTOMER,28986
RINGING,RNG,21010
FOLLOW_UP,CM SAID SEND THE SOA THEN HE CONFIRM THE PAYMENT STATUS,13527
CASH_PICK_UP,CM SAID SEND THE EXECUTIVE AND COLLECT THE EMI,25906
CASH_PICK_UP,PICK UP,14469
